71,Dharwad,BJP,AMRUT AYYAPPA DESAI,M,85123,INC,VINAY KULKARNI,64783,74.89%,206711,20340,DHARWAD
72,Hubli-Dharwad-East,INC,PRASAD ABBAYYA,M,77080,BJP,CHANDRASHEKAR GOKAK,55613,70.02%,194201,21467,DHARWAD
73,Hubli-Dharwad- Central,BJP,JAGADISH SHETTAR,M,75794,INC,DR. MAHESH NALWAD,54488,60.17%,242700,21306,DHARWAD
74,Hubli-Dharwad- West,BJP,ARVIND BELLAD,M,96462,INC,MOHAMMAD ISMAIL TAMATGAR,55975,61.31%,255154,40487,DHARWAD
75,Kalaghatgi,BJP,C M NIMBANNAVAR,M,83267,INC,SANTOSH S LAD,57270,78.87%,189394,25997,DHARWAD
76,Haliyal,INC,R V DESHPANDE,M,61577,BJP,SUNIL HEGADE,56437,76.96%,171846,5140,UTTARA KANNADA
77,Karwar,BJP,RUPALI NAIK,F,60339,JDS,ANAND ASNOTIKAR,46275,72.89%,217686,14064,UTTARA KANNADA
78,Kumta,BJP,DINAKAR SHETTY,M,59392,INC,SHARADA MOHAN SHETTY,26642,80.33%,180281,32750,UTTARA KANNADA
79,Bhatkal,BJP,SUNIL NAIK,M,83172,INC,MANKAL VAIDYA,77242,76.95%,214694,5930,UTTARA KANNADA
80,Sirsi,BJP,KAGERI VISHWESHWAR HEGDE,F,70595,INC,BHIMANNA NAIK,53134,80.45%,190741,17461,UTTARA KANNADA
81,Yellapur,INC,ARABAIL HEBBAR SHIVARAM,M,66290,BJP,ANDALAGI VEERABHADRAGOUDA SHIVANAGOUDA PATIL,64807,81.85%,170433,1483,UTTARA KANNADA
82,Hangal,BJP,C M UDASI,M,80529,INC,MANE SRINIVAS,74015,84.05%,194300,6514,HAVERI
83,Shiggaon,BJP,BASAVARAJ BOMMAIAH,M,83868,INC,SAYED AZEEMPEER KHADRI,74603,80.01%,213107,9265,HAVERI
84,Haveri,BJP,NEHARU OLEKAR,M,86565,INC,RUDRAPPA LAMANI,75261,76.53%,221636,11304,HAVERI
85,Byadgi,BJP,BALLARY VIRUPAKSHAPPA RUDRAPPA,M,91721,INC,S.R.PATIL,70450,82.57%,200760,21271,HAVERI
86,Hirekerur,INC,BASAVANAGOUDA PATIL,M,72461,BJP,UJANESHWARA BANAKAR,71906,83.53%,179278,555,HAVERI
87,Ranebennur,OTHERS,R SHANKAR,M,63910,INC,KRISHNAPPA KOLIWAD,59572,77.40%,230208,4338,HAVERI
88,Huvina Hadagali,INC,P T PARAMESHWARA NAIK,M,54097,IND,ODO GANGAPPA,44919,75.89%,182908,9178,BELLARY
89,Hagaribommanahalli,INC,BHEEMA NAIK L.B.P.,F,78337,BJP,K.NEMIRAJA NAIK,71105,78.77%,221172,7232,BELLARY
90,Vijayanagar,INC,ANAND SINGH,M,83214,BJP,H.R.GAVIYAPPA,74986,72.05%,229174,8228,BELLARY
91,Kampli,INC,J M GANESH,M,80592,BJP,T H SURESH BABU,75037,77.65%,212819,5555,BELLARY
92,Siraguppa,BJP,SOMALINGAPPA,F,82546,INC,B. MURALI KRISHNA,61275,74.68%,203076,21271,BELLARY
93,Bellary,INC,B NAGENDRA,M,79186,BJP,SANNA PAKKIRAPPA,76507,74.25%,219271,2679,BELLARY
94,Bellary City,BJP,SOMASHEKHAR REDDY,M,76589,INC,ANIL L LAD,60434,64.44%,233260,16155,BELLARY
95,Sandur,INC,TUKARAM,M,78106,BJP,D RAGHAVENDRA (MANJU),64096,74.44%,211467,14010,BELLARY
96,Kudligi,BJP,N.Y. GOPALAKRISHNA,M,50085,JDS,N.T. BOMMANNA,39272,76.35%,198195,10813,BELLARY
97,Molakalmuru,BJP,SRIRAMULU,M,84018,INC,B. YOGESH BABU,41973,82.72%,231116,42045,CHITRADURGA
98,Challakere,INC,T RAGHUMURTHY,M,72874,JDS,RAVEESH KUMAR,59335,81.29%,208909,13539,CHITRADURGA
99,Chitradurga,BJP,G H THIPPAREDDY,M,82896,JDS,K.C.VEERENDRA (PAPPY),49911,75.34%,250967,32985,CHITRADURGA
100,Hiriyur,BJP,POORNIMA SRINIVAS,F,77733,INC,D SUDHAKAR,64858,79.38%,235444,12875,CHITRADURGA
101,Hosadurga,BJP,GULIHATTI D SHEKAR,M,90562,INC,B G GOVINDAPPA,64570,85.28%,187111,25992,CHITRADURGA
102,Holalkere,BJP,CHANDRAPPA M,M,107976,INC,H.ANJANEYA,69036,83.29%,224393,38940,CHITRADURGA
103,Jagalur,BJP,S V RAMACHANDRA,M,78948,INC,H.P.RAJESH,49727,77.37%,190053,29221,DAVANAGERE
104,Harapanahalli,BJP,G KARUNAKARA REDDY,M,67603,INC,M P RAVINDRA,57956,82.20%,203725,9647,DAVANAGERE
105,Harihar,INC,S RAMAPPA,M,64801,BJP,HARISH B.P.,57541,77.00%,212129,7260,DAVANAGERE
106,Davanagere North,BJP,RAVINDRANATH,M,76540,INC,S.S. MALLIKARJUN,72469,64.76%,240368,4071,DAVANAGERE
107,Davanagere South,INC,SHAMANUR SHIVASHANKARAPPA,F,71369,BJP,YASHAVANTHA RAO JADHAV,55485,65.62%,206734,15884,DAVANAGERE
